Date,Open,High,Low,Close,Adj Close,Volume
2018-09-04,9.53,9.58,9.36,9.47,9.47,54111100
2018-09-05,9.47,9.55,9.32,9.49,9.49,44561900
2018-09-06,9.48,9.55,9.4,9.43,9.43,29519100
2018-09-07,9.41,9.49,9.25,9.27,9.27,51229900
2018-09-10,9.31,9.49,9.3,9.38,9.38,30421700
2018-09-11,9.35,9.36,9.22,9.31,9.31,27158400
2018-09-12,9.31,9.42,9.28,9.34,9.34,25450000
2018-09-13,9.38,9.41,9.31,9.37,9.37,29315700
2018-09-14,9.38,9.48,9.36,9.45,9.45,30013300
2018-09-17,9.44,9.6,9.43,9.55,9.55,29544400
2018-09-18,9.54,9.61,9.48,9.58,9.58,57055400
2018-09-19,9.61,9.83,9.61,9.78,9.78,40111500
2018-09-20,9.83,9.93,9.71,9.81,9.81,46314400
2018-09-21,9.84,9.94,9.78,9.85,9.85,74488600
